"","study_name","school","id","standard","standard_num","child_age","child_age_centered","child_sex","child_religion","mother_tongue","home_language","friends_language","sequence","question_type","language","army_navy_language","presentation","speaker_gender","response","id_correct"
"49","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",59,"id","Urdu","urdu","audio","female","hindi",0
"50","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",60,"id","Hindi","hindi","audio","female","hindi",1
"51","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",61,"id","English (India)","english","audio","female","english",1
"52","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",62,"id","English (U.S.)","english","audio","female","english",1
"53","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",63,"id","Marathi","marathi","audio","female","chinese",0
"54","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",64,"id","Mandarin","chinese","audio","female","marathi",0
"55","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",65,"id","Tamil","tamil","audio","female","bengali",0
"56","india-socioling","zenith","Z03B58",3,3,8.13440860215054,-2.47080936900892,"female","muslim","hindi","hindi","hindi english",66,"id","Gujarati","gujarati","audio","female","gujarati",1
"57","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",55,"id","Marathi","marathi","audio","female","tamil nadu",0
"58","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",56,"id","English (U.S.)","english","audio","female","english",1
"59","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",57,"id","Hindi","hindi","audio","female","hindi",1
"60","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",58,"id","Gujarati","gujarati","audio","female","urdu",0
"61","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",59,"id","English (India)","english","audio","female","english",1
"62","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",60,"id","Mandarin","chinese","audio","female","japanese",0
"63","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",61,"id","Tamil","tamil","audio","female","telegu",0
"64","india-socioling","zenith","Z03C01",3,3,8.36827956989247,-2.23693840126698,"male","muslim","hindi","hindi","hindi",62,"id","Urdu","urdu","audio","female","urdu",1
"65","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",55,"id","Marathi","marathi","audio","female","tamil",0
"66","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",56,"id","English (U.S.)","english","audio","female","gujarati",0
"67","india-socioling","zenith","Z03C02",3,3,7.75806451612903,-2.84715345503042,"male","muslim","hindi","hindi","hindi",57,"id","Hindi","hindi","audio","female","marathi",0
